公司类型,股票数,起始日,累计收益%,CAGR%,年化波动%,最大回撤%
资源品公司,8,2016-05-04,inf,inf,,-329.49384186993274
制造业公司,10,2016-05-04,5445.9184591803305,103.31502733544369,90.64840999370631,-65.93316317595055
周期品公司,10,2016-05-04,3585.4548676346135,89.15045446131896,97.36077527537839,-70.02640764774188
科技硬件公司,8,2016-10-10,349.32791981433303,33.32781018325761,40.31467328596784,-44.415330544513466
平台型公司,9,2016-05-04,176.05352228054775,19.653631222951873,33.14267670678892,-52.17208124079811
军工公司,10,2016-05-04,92.63922960191844,12.283495288779523,31.98860730199461,-50.64726956013965
消费品公司,10,2016-05-04,74.24035800571392,10.309338430197412,330.1491651399553,-549.2977519372743
医药公司,8,2016-12-09,-5.985065337983797,-1.21239386444143,160.89552557033196,-99.25886593888215
