公司类型,股票数,起始日,结束日,累计收益%,CAGR%,年化波动%,最大回撤%
医药公司,8,2016-12-08,2021-12-31,6147.314311821058,126.31839145471369,50.39158853696384,-41.281112066870996
资源品公司,8,2016-05-03,2021-12-31,3074.678334499822,84.17475033526158,71.65774674219158,-49.619332689411955
消费品公司,10,2016-05-03,2021-12-31,2740.600714241439,80.5931177275199,58.521352349200896,-54.155471602842894
周期品公司,10,2016-05-03,2021-12-31,1645.5422617642394,65.71035416990642,47.44826442762293,-42.814502653208095
制造业公司,10,2016-05-03,2021-12-31,1500.5590384479674,63.191815581245024,44.33329476362598,-61.65515179434378
科技硬件公司,8,2016-09-30,2021-12-31,496.624293869524,40.51376027712317,41.130505505821205,-44.4218557077868
平台型公司,9,2016-05-03,2021-12-31,215.66201732135224,22.510301560733392,33.3604222444271,-52.66266212297096
军工公司,10,2016-05-03,2021-12-31,110.32952511090856,14.033017240995594,32.101156108259644,-50.56369924241324
