指数,起始日,结束日,累计收益%,CAGR%,年化波动%,最大回撤%
沪深300,2016-05-04,2021-12-31,53.7360667674899,7.895735738958853,18.496981211812752,-32.462089027287675
中证1000,2016-05-04,2021-12-31,-6.405991085906171,-1.1630406880320465,22.674159402055295,-55.11309726703541
上证指数,2016-05-04,2021-12-31,21.624385158255333,3.5198435098256375,16.467906091013912,-30.766097199864028
