symbol,年份,年度收益%
SH.600176,2016,0.9433962264151052
SH.600176,2017,180.24820602622924
SH.600176,2018,-34.989200863930904
SH.600176,2019,21.26245847176069
SH.600176,2020,119.77438892247321
SH.600176,2021,6.042884990253494
SH.600309,2016,-346.15384615384596
SH.600309,2017,638.1249999999997
SH.600309,2018,-35.998371366914974
SH.600309,2019,198.94528675016514
SH.600309,2020,79.75744211686875
SH.600309,2021,13.812561334641815
SH.600989,2019,-47.66283524904213
SH.600989,2020,36.163982430453736
SH.600989,2021,63.87096774193574
SH.600160,2016,-6.9306930693070035
SH.600160,2017,3.495440729483268
SH.600160,2018,-21.58590308370043
SH.600160,2019,14.981273408239781
SH.600160,2020,11.444208772062892
SH.600160,2021,69.11142454160807
SH.600019,2016,-3.5412364993053114
SH.600019,2017,57.953281423804185
SH.600019,2018,-30.178571428571576
SH.600019,2019,-6.649616368286127
SH.600019,2020,13.42465753424651
SH.600019,2021,44.927536231883906
SH.600585,2016,45.849802371541394
SH.600585,2017,348.78048780487933
SH.600585,2018,6.944444444444509
SH.600585,2019,153.64201016374926
SH.600585,2020,-2.6268922528940863
SH.600585,2021,-21.033379058070544
SZ.002648,2016,52.12765957446799
SZ.002648,2017,51.993006993007064
SZ.002648,2018,-55.55555555555558
SZ.002648,2019,123.50000000000017
SZ.002648,2020,81.20805369127511
SZ.002648,2021,135.43209876543204
SH.601636,2016,63.07692307692307
SH.601636,2017,236.79245283018878
SH.601636,2018,-59.9439775910364
SH.601636,2019,139.16083916083886
SH.601636,2020,222.51461988304087
SH.601636,2021,42.15775158658215
SH.600596,2016,56.13496932515329
SH.600596,2017,-10.459429022367328
SH.600596,2018,27.664399092970626
SH.600596,2019,-4.085257548845423
SH.600596,2020,28.45304878586581
SH.600596,2021,164.21725239616586
SH.603733,2018,-22.713864306784558
SH.603733,2019,-8.091603053435204
SH.603733,2020,92.52491694352148
SH.603733,2021,69.54270923209644
SZ.300750,2018,-3070.5882352941203
SZ.300750,2019,90.04950495049535
SZ.300750,2020,354.4673091951026
SZ.300750,2021,75.50868344127908
SZ.002594,2016,-25.9704756697649
SZ.002594,2017,38.33087149187568
SZ.002594,2018,-24.773091297383854
SZ.002594,2019,-7.3811213626685745
SZ.002594,2020,374.6360153256706
SZ.002594,2021,39.81272198902139
SZ.300274,2016,-33.3239171374764
SZ.300274,2017,162.4657534246578
SZ.300274,2018,-73.06889352818374
SZ.300274,2019,46.51162790697707
SZ.300274,2020,1171.4285714285704
SZ.300274,2021,109.80024968789036
SZ.300124,2016,11.59999999999981
SZ.300124,2017,53.494623655914154
SZ.300124,2018,-33.39171044950386
SZ.300124,2019,49.16000978325976
SZ.300124,2020,225.82210242587587
SZ.300124,2021,10.986101919258594
SH.600406,2016,27.840909090909484
SH.600406,2017,23.60959603452337
SH.600406,2018,4.5685279187817285
SH.600406,2019,21.11650485436909
SH.600406,2020,32.96593186372749
SH.600406,2021,95.47852298417503
SH.600031,2016,22.745098039215762
SH.600031,2017,95.84664536741218
SH.600031,2018,-9.29853181076673
SH.600031,2019,161.33093525179868
SH.600031,2020,126.2904335856847
SH.600031,2021,-35.218978102189745
SZ.002028,2016,19.82851018220808
SZ.002028,2017,24.776386404293138
SZ.002028,2018,-42.15053763440858
SZ.002028,2019,49.56629491945495
SZ.002028,2020,52.94117647058836
SZ.002028,2021,158.99241603466984
SH.601126,2016,-12.072072072072048
SH.601126,2017,-35.24590163934431
SH.601126,2018,-81.0126582278481
SH.601126,2019,105.00000000000047
SH.601126,2020,130.08130081300826
SH.601126,2021,527.2084805653716
SZ.300776,2019,87.57460661964198
SZ.300776,2020,65.0564072895572
SZ.300776,2021,72.87066246056764
SZ.002747,2016,18.110236220472654
SZ.002747,2017,14.67680006333374
SZ.002747,2018,-23.49676225716928
SZ.002747,2019,21.77224324218896
SZ.002747,2020,167.20720720720698
SZ.002747,2021,-12.91301416048557
SH.600519,2016,-825.4881808838651
SH.600519,2017,524.3377248902107
SH.600519,2018,-21.891450353966324
SH.600519,2019,176.48442946781338
SH.600519,2020,87.41817876167582
SH.600519,2021,3.996546678701085
SZ.000333,2016,84.38825673461248
SZ.000333,2017,273.83720930232573
SZ.000333,2018,-34.27861488265024
SZ.000333,2019,104.63724727058673
SZ.000333,2020,95.19362186788167
SZ.000333,2021,-26.875948185319164
SZ.000858,2016,248.83720930232602
SZ.000858,2017,771.6666666666674
SZ.000858,2018,-52.96367112810696
SZ.000858,2019,340.7723577235774
SZ.000858,2020,148.51978234805873
SZ.000858,2021,-24.71889264111019
SZ.000651,2016,-392.4765785171151
SZ.000651,2017,517.9325120514197
SZ.000651,2018,-31.9377990430623
SZ.000651,2019,130.13597211410612
SZ.000651,2020,-2.9351814105178176
SZ.000651,2021,-46.01007979840408
SH.603288,2016,-2.6966292134831926
SH.603288,2017,140.993071593534
SH.603288,2018,36.8950646861522
SH.603288,2019,67.48337416870847
SH.603288,2020,136.2173458725187
SH.603288,2021,-32.41617269751396
SH.600887,2016,22.437472841379513
SH.600887,2017,186.71801258001318
SH.600887,2018,-35.4905193734542
SH.600887,2019,55.97444089456873
SH.600887,2020,58.336747234739825
SH.600887,2021,-5.407503234152589
SH.600809,2016,-110.45661358466039
SH.600809,2017,17763.052208835292
SH.600809,2018,-58.56871847566616
SH.600809,2019,485.04901960784264
SH.600809,2020,428.63426895684944
SH.600809,2021,18.96421920196525
SZ.002847,2017,627.7227722772282
SZ.002847,2018,-29.65986394557828
SZ.002847,2019,136.36363636363646
SZ.002847,2020,290.7528641571192
SZ.002847,2021,-23.560209424083634
SZ.002507,2016,42.904290429042916
SZ.002507,2017,140.64665127020794
SZ.002507,2018,21.69086251067458
SZ.002507,2019,29.12280701754364
SZ.002507,2020,66.35869565217382
SZ.002507,2021,-10.552107154524638
SH.600258,2016,15.895061728395321
SH.600258,2017,44.07456724367502
SH.600258,2018,-29.89833641404811
SH.600258,2019,31.377719182597087
SH.600258,2020,3.411941796287077
SH.600258,2021,23.823386705482786
SH.603259,2018,221.81168057210968
SH.603259,2019,86.11111111111134
SH.603259,2020,114.68656716417853
SH.603259,2021,6.136447905079545
SH.600276,2016,16.13876319758676
SH.600276,2017,90.1298701298701
SH.600276,2018,-0.44398907103834206
SH.600276,2019,104.21955403087479
SH.600276,2020,54.20796237191301
SH.600276,2021,-45.76252723311559
SZ.300760,2018,98.43315643163997
SZ.300760,2019,93.83596535914424
SZ.300760,2020,161.36662286465184
SZ.300760,2021,-10.734037204625501
SZ.002001,2016,-19.237743904334604
SZ.002001,2017,265.5290102389074
SZ.002001,2018,-45.09803921568635
SZ.002001,2019,105.61224489795916
SZ.002001,2020,62.69644334160462
SZ.002001,2021,15.40416878495179
SZ.000538,2016,21.401225114854515
SZ.000538,2017,47.91329202201477
SZ.000538,2018,-39.916403793062
SZ.000538,2019,33.40308318154794
SZ.000538,2020,39.4432026010974
SZ.000538,2021,-5.260856893034049
SH.603127,2017,350.7042253521126
SH.603127,2018,23.749999999999915
SH.603127,2019,78.91414141414164
SH.603127,2020,159.6330275229354
SH.603127,2021,58.27670562652869
SZ.300573,2017,-50.87336244541491
SZ.300573,2018,-86.22222222222223
SZ.300573,2019,4603.225806451617
SZ.300573,2020,37.92866941015119
SZ.300573,2021,52.61064147190437
SZ.300529,2016,445.6989247311826
SZ.300529,2017,-38.81773399014779
SZ.300529,2018,42.190016103059456
SZ.300529,2019,92.24235560588913
SZ.300529,2020,89.77908689248888
SZ.300529,2021,-21.511718143721826
SH.601138,2018,-49.48948948948944
SH.601138,2019,80.97502972651591
SH.601138,2020,-28.777923784494053
SH.601138,2021,-14.022140221402235
SZ.300308,2016,124.170616113744
SZ.300308,2017,156.69642571999742
SZ.300308,2018,-33.44334433443345
SZ.300308,2019,91.73553719008287
SZ.300308,2020,-2.471264367816217
SZ.300308,2021,-17.44254566882718
SH.688981,2020,-30.35455861070919
SH.688981,2021,-8.242424242424152
SH.688256,2020,-31.114879186095735
SH.688256,2021,-35.56923076923082
SZ.300502,2016,50.76193067333288
SZ.300502,2017,-28.101802757157945
SZ.300502,2018,-35.39823008849565
SZ.300502,2019,122.6027397260272
