date,AJ80_nav,AJ80_daily_return,available_return_count
2021-01-05,1.0,0.013128589362797136,73
2021-01-06,1.0084949708831366,0.008494970883136463,73
2021-01-07,1.0329312062457732,0.024230398830088082,73
2021-01-08,1.0319691114228908,-0.0009314219737624542,73
2021-01-11,1.0150688993150339,-0.016376664689657996,73
2021-01-12,1.0420071556939834,0.026538352615401266,73
2021-01-13,1.0353791892272204,-0.006360768667033598,73
2021-01-14,1.014921043313941,-0.019759085488813832,73
2021-01-15,1.0104400285848405,-0.004415136289290991,73
2021-01-18,1.0327062967040745,0.022036209462543546,73
2021-01-19,1.0144851141178468,-0.017644109118324692,73
2021-01-20,1.0352707493645497,0.02048885188894795,73
2021-01-21,1.0609366473556359,0.024791483780295956,73
2021-01-22,1.065941151343574,0.004717062041745498,73
2021-01-25,1.0788359218693946,0.01209707544320544,73
2021-01-26,1.0445293134010465,-0.031799653471773597,73
2021-01-27,1.0456828644070033,0.0011043739904252755,73
2021-01-28,1.0117955480261196,-0.03240687739499377,73
2021-01-29,1.00355711860977,-0.008142385516937127,73
2021-02-01,1.0138814912721268,0.010287777816432628,73
2021-02-02,1.0351444337093463,0.02097182226942595,73
2021-02-03,1.024605076322685,-0.010181533169138945,73
2021-02-04,1.0079088646204544,-0.016295265452083745,73
2021-02-05,0.993590589660398,-0.014205922244218185,73
2021-02-08,1.0175278327826751,0.024091656434124125,73
2021-02-09,1.0543933179265104,0.03623044398010967,73
2021-02-10,1.0734659776546043,0.018088752464403675,73
2021-02-18,1.0951262848383594,0.02017791679907774,73
2021-02-19,1.1026232649855272,0.006845767699087166,73
2021-02-22,1.0851611269164603,-0.0158369033409577,73
2021-02-23,1.0798297844106153,-0.004912950135796399,73
2021-02-24,1.048505189622664,-0.029008826428184142,73
2021-02-25,1.0511162339481035,0.00249025407912291,73
2021-02-26,1.0210838034951577,-0.028571940460039167,73
2021-03-01,1.0518453977035265,0.030126414798738548,73
2021-03-02,1.0464547099213866,-0.005124981098847216,73
2021-03-03,1.0622539881519912,0.01509790923659903,73
2021-03-04,1.0249273436384745,-0.03513909566812181,73
2021-03-05,1.0173031254019103,-0.007438788987225665,73
2021-03-08,0.9756578081324322,-0.040936979578259834,73
2021-03-09,0.9455235226546057,-0.030886121370266608,73
2021-03-10,0.9530050822583219,0.007912610764787028,73
2021-03-11,0.9830869085860221,0.031565231799620334,73
2021-03-12,0.9902714472592293,0.007308141946006393,73
2021-03-15,0.9694501440112654,-0.021025854381231487,73
2021-03-16,0.9739148886047315,0.004605440126082592,73
2021-03-17,0.984597178733877,0.010968402120281155,73
2021-03-18,0.9988597351811329,0.0144856767369542,73
2021-03-19,0.9804649728774405,-0.018415761148242414,73
2021-03-22,0.9894657155874214,0.009180075738520132,73
2021-03-23,0.9715518094417249,-0.018104625419043924,73
2021-03-24,0.9451487790699795,-0.027176142450825377,73
2021-03-25,0.9538019592139767,0.009155362981595276,73
2021-03-26,0.9817743540839502,0.029327256669744364,73
2021-03-29,0.9898799531476147,0.00825607129575869,73
2021-03-30,1.0021392694151854,0.012384649500768993,73
2021-03-31,0.9868903150536472,-0.015216402377323086,73
2021-04-01,1.001526402790603,0.014830511064606387,73
2021-04-02,1.0133578017292015,0.011813366982270122,73
2021-04-06,1.0171718999227577,0.003763821808099488,73
2021-04-07,1.015189768885243,-0.00194866869372369,73
2021-04-08,1.016845382192827,0.0016308412065677296,73
2021-04-09,1.0052379986631643,-0.011415091943114533,73
2021-04-12,0.9767604783254582,-0.028329132380170183,73
2021-04-13,0.9745970097016117,-0.002214942835889,73
2021-04-14,0.9899047335148122,0.015706721507269313,73
2021-04-15,0.9849944795707,-0.004960329795249728,73
2021-04-16,0.9900635160147085,0.005146258734584753,73
2021-04-19,1.0150591095048578,0.02524645448078284,73
2021-04-20,1.014980522438198,-7.742117274137057e-05,73
2021-04-21,1.0148685560742317,-0.00011031380552738796,73
2021-04-22,1.0128351800606217,-0.0020035855889314535,73
2021-04-23,1.0264310145822695,0.013423540956420895,73
2021-04-26,1.0202224515581644,-0.006048690010240857,73
2021-04-27,1.0218647024418999,0.0016096988271795429,73
2021-04-28,1.032127193221225,0.010042905635943252,73
2021-04-29,1.0334084799146654,0.0012414038713983676,73
2021-04-30,1.017669197137959,-0.015230456380623193,73
2021-05-06,1.0216298824753889,0.0038919182663372325,73
2021-05-07,1.008744957364455,-0.012612126301272744,73
2021-05-10,1.0130785215121065,0.004295995847130551,73
2021-05-11,1.0133496261016486,0.0002676047155133552,73
2021-05-12,1.019683239212233,0.006250175603211804,73
2021-05-13,1.0046347346351625,-0.014758018959590153,73
2021-05-14,1.023762681294426,0.019039702689764234,73
2021-05-17,1.0391576381583347,0.015037622629927808,73
2021-05-18,1.0472338629897897,0.007771895749877053,73
2021-05-19,1.0426123578841626,-0.004413059268760817,73
2021-05-20,1.0390155213953285,-0.0034498310533489143,73
2021-05-21,1.0325214961151299,-0.006250171577299898,73
2021-05-24,1.0327112724559984,0.00018379892484814237,73
2021-05-25,1.0647269974689235,0.03100162249297943,73
2021-05-26,1.070920413795825,0.005816905499367181,73
2021-05-27,1.085385638852968,0.01350728296033829,73
2021-05-28,1.0769466183486398,-0.007775135585216077,73
2021-05-31,1.0900028319074366,0.01212336186060628,73
2021-06-01,1.1001954598208938,0.009351010488313074,73
2021-06-02,1.0867979854861205,-0.012177358318633999,73
2021-06-03,1.0847585186985294,-0.0018765831505281898,73
2021-06-04,1.0913610919496717,0.006086675640089936,73
2021-06-07,1.0987481454560997,0.006768661225801544,73
2021-06-08,1.0974965693033447,-0.0011390928466462826,73
2021-06-09,1.1052953642037984,0.007105985675567088,73
2021-06-10,1.1181706168197174,0.011648698649155858,73
2021-06-11,1.102206621143804,-0.01427688711881739,73
2021-06-15,1.0968177028181272,-0.004889208812849079,73
2021-06-16,1.0739077856998782,-0.020887625226493803,73
2021-06-17,1.0832917221412568,0.008738121248709265,73
2021-06-18,1.0885155719999575,0.004822200476502535,73
2021-06-21,1.0955834785162262,0.006493160684217267,73
2021-06-22,1.1005374878543017,0.0045217999679815195,73
2021-06-23,1.1151568179362912,0.013283809268953133,73
2021-06-24,1.1087377317296414,-0.005756218411083223,73
2021-06-25,1.1255126975070573,0.015129787051845927,73
2021-06-28,1.1306757763825332,0.004587312863650134,73
2021-06-29,1.1210192988188292,-0.008540447903287184,73
2021-06-30,1.1288446620285633,0.006980578494927911,73
2021-07-01,1.1148234772290775,-0.012420827480629145,73
2021-07-02,1.0888083524012386,-0.023335644933223088,73
2021-07-05,1.0991113310738707,0.009462619064144813,73
2021-07-06,1.0984731670864205,-0.0005806181497799891,73
2021-07-07,1.1165747726973083,0.016478878276927213,73
2021-07-08,1.1120044456527562,-0.004093167028582928,73
2021-07-09,1.1123127527439522,0.00027725346998517495,73
2021-07-12,1.1376735091209436,0.022800023028081897,73
2021-07-13,1.1438150003004635,0.005398289694083935,73
2021-07-14,1.1315186298307527,-0.010750314051206399,73
2021-07-15,1.1393051691894842,0.006881494615688653,73
2021-07-16,1.1327148906599915,-0.005784471718127259,73
2021-07-19,1.1384552470176779,0.005067785728800286,73
2021-07-20,1.1353806560364685,-0.0027006691648735863,73
2021-07-21,1.146848180691082,0.010100158562367758,73
2021-07-22,1.1542733164263732,0.006474384195139747,73
2021-07-23,1.1391996691611417,-0.013058993091774315,73
2021-07-26,1.1188687255321283,-0.017846690250519767,73
2021-07-27,1.0880070637068842,-0.02758291578001381,73
2021-07-28,1.0730411501390646,-0.01375534595963929,73
2021-07-29,1.1058432185198162,0.030569254847775684,73
2021-07-30,1.1148288439095377,0.00812558709881956,73
2021-08-02,1.1520691857836391,0.033404537456624306,73
2021-08-03,1.1398926297425789,-0.010569292357887089,73
2021-08-04,1.1573672625949543,0.015330069163024294,73
2021-08-05,1.149863896897727,-0.006483132830631387,73
2021-08-06,1.145281567259831,-0.003985106107130409,73
2021-08-09,1.1606417261488131,0.013411687857451738,73
2021-08-10,1.178899531355658,0.015730784785264466,73
2021-08-11,1.1860082795739268,0.006029986465508402,73
2021-08-12,1.1782432725208647,-0.006547177778431499,73
2021-08-13,1.1714400778821332,-0.005774015262719123,73
2021-08-16,1.167989413274133,-0.0029456603655209504,73
2021-08-17,1.1307123627509041,-0.03191557226424949,73
2021-08-18,1.1463608352069663,0.013839481172728195,73
2021-08-19,1.1461883967761382,-0.0001504224721678506,73
2021-08-20,1.1294552624216734,-0.014598938884331454,73
2021-08-23,1.1605338817178932,0.027516467743559765,73
2021-08-24,1.1707783209641482,0.008827350418318251,73
2021-08-25,1.1829276012784944,0.010377097095837312,73
2021-08-26,1.1707389571571452,-0.010303795522376803,73
2021-08-27,1.1713317800488339,0.0005063664176070616,73
2021-08-30,1.18051105068252,0.007836610250003938,73
2021-08-31,1.1871525871975788,0.0056259841966059985,73
2021-09-01,1.189414515302409,0.0019053389844096566,73
2021-09-02,1.195556170481965,0.00516359528199839,73
2021-09-03,1.1839929357773114,-0.009671845614742073,73
2021-09-06,1.2094797848753345,0.02152618341535199,73
2021-09-07,1.223119441837209,0.011277292214751938,73
2021-09-08,1.218551973480101,-0.0037342782731403187,73
2021-09-09,1.2315449668117804,0.010662650108039616,73
2021-09-10,1.2344688834047763,0.0023741858168327603,73
2021-09-13,1.2428052255282673,0.00675297873892,73
2021-09-14,1.2302277911534876,-0.010120197530899195,73
2021-09-15,1.2254599621200104,-0.003875566027496929,73
2021-09-16,1.2142849535430245,-0.009119031973638126,73
2021-09-17,1.2129541147142675,-0.001095985604428283,73
2021-09-22,1.2200507827919158,0.005850730865709646,73
2021-09-23,1.2272836815486317,0.005928358768939321,73
2021-09-24,1.2136313353809878,-0.011124034624510634,73
2021-09-27,1.2037591635989295,-0.00813440745492879,73
2021-09-28,1.2039381939549905,0.00014872605872901794,73
2021-09-29,1.1693762055699015,-0.028707444085274213,73
2021-09-30,1.193443517550873,0.02058132521111319,73
2021-10-08,1.2005130292118145,0.005923624836011483,73
2021-10-11,1.1976045753072688,-0.0024226758342265307,73
2021-10-12,1.1704164835292685,-0.02270206071233888,73
2021-10-13,1.1782302085358145,0.006676020986123166,73
2021-10-14,1.1856978789661057,0.006338040203171601,73
2021-10-15,1.19301171419672,0.006168380124784844,73
2021-10-18,1.1954356128542563,0.0020317475752266822,73
2021-10-19,1.2073001032274302,0.009924825934243292,73
2021-10-20,1.2008631648917971,-0.005331680431754646,73
2021-10-21,1.2026974785617026,0.0015274959908281925,73
2021-10-22,1.2006956103233941,-0.0016644819449544883,73
2021-10-25,1.2174714117667513,0.013971735466608895,73
2021-10-26,1.2202739180458704,0.0023019072579716967,73
2021-10-27,1.1975782963600903,-0.01859879273837503,73
2021-10-28,1.179887136129447,-0.014772445596595827,73
2021-10-29,1.196122106784165,0.013759765792494355,73
2021-11-01,1.1942713178323567,-0.0015473244255840854,73
2021-11-02,1.190052242234771,-0.0035327613872898835,73
2021-11-03,1.1897412439993822,-0.00026133158222083405,73
2021-11-04,1.2054322682624343,0.013188602431152035,73
2021-11-05,1.1858285305693765,-0.016262828040363924,73
2021-11-08,1.1892413690873065,0.0028780202448757636,73
2021-11-09,1.1989231412066557,0.008141132970155299,72
2021-11-10,1.190058009419552,-0.007394245287634761,72
2021-11-11,1.2024097378992504,0.010379097810301448,72
2021-11-12,1.2098354552328403,0.006175696270194434,72
2021-11-15,1.2163722266989683,0.005403025211283782,72
2021-11-16,1.2046419321902548,-0.00964367177352233,72
2021-11-17,1.2166229363910974,0.009945697456387521,72
