index,year,annual_return,annualized_return,trading_days
沪深300,2021,-0.06214263476418602,-0.0646257258598868,242
沪深300,2022,-0.21632792685568125,-0.22418216756382825,242
沪深300,2023,-0.11378153387591283,-0.11819397988229297,242
沪深300,2024,0.14683294910393552,0.15334396198775702,242
沪深300,2025,0.1766317399889703,0.18374150798436917,243
沪深300,2026,0.06139820386441275,0.17321065282162373,94
中证1000,2021,0.1782030840918054,0.1862142498094197,242
中证1000,2022,-0.21580910625293326,-0.22364731545177496,242
中证1000,2023,-0.06278316739949186,-0.0652909514308696,242
中证1000,2024,0.011971653949897965,0.012469422195868995,242
中证1000,2025,0.2748635384005975,0.2863814336660315,243
中证1000,2026,0.13725129290822746,0.41170123470157116,94
