指数,起始日,累计收益%,CAGR%,最大回撤%
沪深300,2016-05-03,53.73606676749005,7.891770843609125,-32.462089027287696
中证1000,2016-05-03,-6.4059910859065265,-1.1624815708819014,-55.11309726703556
上证指数,2016-05-03,21.62438515825493,3.5181118629345587,-30.766097199864017
