year,start_date,end_date,trading_days,annual_return,annualized_return,annualized_vol,max_drawdown,avg_constituents_with_return,min_constituents_with_return
2021,2021-01-05,2021-12-31,242,0.29749660921819343,0.3115354771545802,0.21950678844829813,-0.14281803306373608,72.95454545454545,72
2022,2022-01-04,2022-12-30,242,-0.1528129209222645,-0.1585985376748319,0.23841823076492066,-0.29133225539018837,75.72314049586777,73
2023,2023-01-03,2023-12-29,242,0.17856810358919462,0.18659693970802516,0.16048989696135982,-0.14585557728039966,79.90495867768595,79
2024,2024-01-02,2024-12-31,242,0.3166998594816559,0.3317547664909857,0.28190134916832227,-0.1606683809682249,79.90082644628099,78
2025,2025-01-02,2025-12-31,243,0.4372598508770553,0.45669937693728,0.18332901808294483,-0.1252356223976867,79.89711934156378,78
2026,2026-01-05,2026-06-24,104,0.09428857348131792,0.24399752839014388,0.202325727410138,-0.09822648154415414,79.89423076923077,79
