公司类型,年份,收益%,有效成分均值
军工公司,2016,7.3700393088999006,8.445121951219512
军工公司,2017,-16.617642321606883,7.991803278688525
军工公司,2018,-24.441743200621314,8.720164609053498
军工公司,2019,41.787618739513356,9.520491803278688
军工公司,2020,70.05577232264582,9.983539094650206
军工公司,2021,18.87263881762602,10.0
制造业公司,2016,4.203261637751465,7.951219512195122
制造业公司,2017,53.961617842570874,7.39344262295082
制造业公司,2018,174.6710880976447,8.563786008230453
制造业公司,2019,86.01959982247187,9.53688524590164
制造业公司,2020,249.7798711305733,10.0
制造业公司,2021,94.2474105169659,10.0
医药公司,2016,-45.22319329337519,4.0
医药公司,2017,77.79448817472179,5.336065573770492
医药公司,2018,-90.57546553855465,6.707818930041152
医药公司,2019,360.50549056921426,7.950819672131147
医药公司,2020,96.00187460792564,8.0
医药公司,2021,9.617517389033182,8.0
周期品公司,2016,319.6234055019378,7.5426829268292686
周期品公司,2017,161.4528041723349,7.786885245901639
周期品公司,2018,-21.22454722402024,8.25514403292181
周期品公司,2019,49.935031918827065,9.639344262295081
周期品公司,2020,70.06155577047414,9.868312757201647
周期品公司,2021,66.75957405741231,10.0
平台型公司,2016,5.817665528487548,5.658536585365853
平台型公司,2017,31.592957304269852,5.532786885245901
平台型公司,2018,-41.81155660405018,5.518518518518518
平台型公司,2019,107.95476231313539,7.233606557377049
平台型公司,2020,46.25370768951329,8.954732510288066
平台型公司,2021,10.881484660652973,9.0
消费品公司,2016,-97.58926246781606,7.987804878048781
消费品公司,2017,1835.0940118144124,9.790983606557377
消费品公司,2018,-22.981661959618283,9.592592592592593
消费品公司,2019,142.10039513638583,9.913934426229508
消费品公司,2020,115.19582186064272,10.0
消费品公司,2021,-8.883905993227382,10.0
科技硬件公司,2016,15.873290442858657,4.0
科技硬件公司,2017,85.26999144501181,4.148305084745763
科技硬件公司,2018,-27.0634106387167,5.567901234567901
科技硬件公司,2019,134.50145121248497,6.0
科技硬件公司,2020,28.013199833115742,6.9300411522633745
科技硬件公司,2021,2.153120197570635,8.0
资源品公司,2016,30.74481034342149,7.7926829268292686
资源品公司,2017,-99.98811831441924,7.286885245901639
资源品公司,2018,-inf,7.979423868312757
资源品公司,2019,-6.819914435393548,7.979508196721311
资源品公司,2020,-inf,8.0
资源品公司,2021,78.83749057173992,7.954732510288066
