公司类型,股票数,起始日,结束日,累计收益%,CAGR%,年化波动%,最大回撤%
医药公司,8,2016-12-09,2021-12-31,776.9005584038977,53.59266013262136,29.621209556381405,-30.95076897652742
制造业公司,10,2016-05-04,2021-12-31,651.4466431634667,42.815684762466574,27.562428296757414,-30.158141567471507
消费品公司,10,2016-05-04,2021-12-31,615.1656110518569,41.572283973376535,26.85946473810712,-36.21352544795718
周期品公司,10,2016-05-04,2021-12-31,370.1219177553404,31.456845043560342,27.737188518146432,-33.74200063432132
科技硬件公司,8,2016-10-10,2021-12-31,291.3736239741648,29.849501185156257,36.6904920684111,-43.126116219638064
平台型公司,9,2016-05-04,2021-12-31,142.80819348544358,16.970972507979255,28.44629838016096,-44.78465265810889
资源品公司,8,2016-05-04,2021-12-31,116.22054720414665,14.598277957718174,25.009167460637094,-34.0538604277981
军工公司,10,2016-05-04,2021-12-31,84.68537981530775,11.449995814274638,30.497806545932832,-49.30234471385722
