年份,收益%,年化波动%,最大回撤%,有效成分均值,有效成分最少
2016,49.29718965312302,43.64200238864988,-22.857819863274955,51.53939393939394,48
2017,141.93002615310996,25.82288104867488,-9.881472903639022,55.16803278688525,53
2018,-3.535749343607919,45.37827893353882,-30.003476714993294,60.78600823045267,55
2019,122.74692235369118,31.277064917287262,-16.24686413865658,67.8360655737705,62
2020,102.34453323953154,33.99000756720543,-19.726693746063162,71.6872427983539,69
2021,34.466425116982165,22.175008444290103,-14.281896542530115,72.95884773662551,72
