公司类型,年份,收益%,有效成分均值
军工公司,2016,12.065772641420791,8.460606060606061
军工公司,2017,-15.299891510945862,8.012295081967213
军工公司,2018,-25.3614614109988,8.736625514403292
军工公司,2019,52.664023072915064,9.540983606557377
军工公司,2020,69.35554669979614,9.991769547325102
军工公司,2021,18.847223860139483,10.0
制造业公司,2016,9.12238122994944,7.957575757575758
制造业公司,2017,49.57420850658607,7.405737704918033
制造业公司,2018,-24.553226210580803,8.534979423868313
制造业公司,2019,100.40757387619661,9.55327868852459
制造业公司,2020,249.70515734638104,10.0
制造业公司,2021,94.23191686512853,10.0
医药公司,2016,122.94401479300889,4.076923076923077
医药公司,2017,78.24753330637877,5.340163934426229
医药公司,2018,132.1170572340274,6.670781893004115
医药公司,2019,228.403334820734,7.950819672131147
医药公司,2020,96.00588421412448,8.0
医药公司,2021,9.618804439572791,8.0
周期品公司,2016,82.63700176836493,7.454545454545454
周期品公司,2017,167.43819391261786,7.80327868852459
周期品公司,2018,-14.97571132547213,8.271604938271604
周期品公司,2019,58.53416364318056,9.64344262295082
周期品公司,2020,68.20025967390416,9.88477366255144
周期品公司,2021,66.78912844519598,10.0
平台型公司,2016,8.180426355385961,5.678787878787879
平台型公司,2017,31.095517807264205,5.540983606557377
平台型公司,2018,-42.08941222390287,5.534979423868313
平台型公司,2019,140.6228616508713,7.245901639344262
平台型公司,2020,49.88735721659927,8.958847736625515
平台型公司,2021,10.911486363916367,9.0
消费品公司,2016,50.609622780600525,7.842424242424243
消费品公司,2017,522.4038666013504,9.778688524590164
消费品公司,2018,-23.787754632736714,9.604938271604938
消费品公司,2019,147.6764243821129,9.930327868852459
消费品公司,2020,115.1534195636398,10.0
消费品公司,2021,-8.87863169716745,10.0
科技硬件公司,2016,22.512422425512526,4.0
科技硬件公司,2017,111.10493676257782,4.151260504201681
科技硬件公司,2018,-20.475877588074198,5.57201646090535
科技硬件公司,2019,134.48744816561046,6.0
科技硬件公司,2020,28.036930789348457,6.9300411522633745
科技硬件公司,2021,2.156712449686049,8.0
资源品公司,2016,-12.720657800749457,7.806060606060606
资源品公司,2017,303.217365201884,7.163934426229508
资源品公司,2018,1.8715768333552374,7.860082304526749
资源品公司,2019,123.65275074690896,7.971311475409836
资源品公司,2020,121.40800897641775,7.921810699588478
资源品公司,2021,80.85602583866944,7.958847736625515
