symbol,年份,年度收益%
SH.600176,2016,0.4728989862526012
SH.600176,2017,103.30399369416719
SH.600176,2018,-27.592599159489794
SH.600176,2019,15.361188497045951
SH.600176,2020,86.84517255844915
SH.600176,2021,5.561975211525971
SH.600309,2016,33.47799132052089
SH.600309,2017,115.28320297367412
SH.600309,2018,-23.188275877619226
SH.600309,2019,111.20020565968676
SH.600309,2020,66.79140544665798
SH.600309,2021,12.253836125544272
SH.600989,2019,-38.93641474078707
SH.600989,2020,26.870036455584323
SH.600989,2021,51.16135633068018
SH.600160,2016,-5.577246514700606
SH.600160,2017,2.633149848842553
SH.600160,2018,-18.165379508903023
SH.600160,2019,12.067479656195456
SH.600160,2020,13.45378302147564
SH.600160,2021,60.99705305164542
SH.600019,2016,13.895922757825563
SH.600019,2017,40.55287565381449
SH.600019,2018,-20.90245627572006
SH.600019,2019,-4.809673813636839
SH.600019,2020,9.946646341463627
SH.600019,2021,30.9724305666808
SH.600585,2016,7.641612535858755
SH.600585,2017,77.15224361163826
SH.600585,2018,3.2873348323041007
SH.600585,2019,95.25687789106618
SH.600585,2020,-2.311397282013883
SH.600585,2021,-18.245176888497827
SZ.002648,2016,28.092243186582856
SZ.002648,2017,37.10038641986881
SZ.002648,2018,-41.37708406532998
SZ.002648,2019,69.94893171311365
SZ.002648,2020,61.87626090796048
SZ.002648,2021,115.38790858640509
SH.601636,2016,11.815561959654186
SH.601636,2017,66.24174331748864
SH.601636,2018,-35.72917246885382
SH.601636,2019,55.922542204568046
SH.601636,2020,144.934730776758
SH.601636,2021,36.38284795763982
SH.600596,2016,33.554244587508066
SH.600596,2017,-9.200968135581544
SH.600596,2018,17.798841773910446
SH.600596,2019,-3.498576873749615
SH.600596,2020,12.87121205075037
SH.600596,2021,133.98348842146572
SH.603733,2018,-19.708840061318345
SH.603733,2019,-6.8874268280110895
SH.603733,2020,79.74117544133041
SH.603733,2021,65.1177488354406
SZ.300750,2018,103.86740331491713
SZ.300750,2019,44.461788617886214
SZ.300750,2020,230.4516662164395
SZ.300750,2021,67.56902524694486
SZ.002594,2016,-22.19687000402393
SZ.002594,2017,31.457598471487636
SZ.002594,2018,-21.28888389290099
SZ.002594,2019,-6.253415933302541
SZ.002594,2020,307.9538691441179
SZ.002594,2021,38.00632467928382
SZ.300274,2016,-18.033158836218266
SZ.300274,2017,78.91716531119022
SZ.300274,2018,-52.113062465320795
SZ.300274,2019,18.806505319091936
SZ.300274,2020,589.1157844272815
SZ.300274,2021,102.0282417535149
SZ.300124,2016,9.341815752602155
SZ.300124,2017,44.45286232088277
SZ.300124,2018,-29.958859264797432
SZ.300124,2019,53.41237901108282
SZ.300124,2020,205.59751197355212
SZ.300124,2021,10.718661734309244
SH.600406,2016,18.329777057730247
SH.600406,2017,11.869984756734798
