年份,收益%,有效成分均值,有效成分最少
2016,inf,51.6890243902439,48
2017,-11.6303237395168,55.22950819672131,53
2018,-inf,60.90534979423868,55
2019,104.21991963207154,67.77459016393442,62
2020,-inf,71.73662551440329,70
2021,34.28430052436586,72.95473251028807,72
