year_end,start_date,end_date,nav_from_start,cagr_from_start
2021,2021-01-05,2021-12-31,1.2806830473851778,0.2853118699029915
2022,2021-01-05,2022-12-30,1.0849781301386228,0.042004261589478675
2023,2021-01-05,2023-12-29,1.2787206172732257,0.08603898693096723
2024,2021-01-05,2024-12-31,1.6836912570799523,0.13961948005719527
2025,2021-01-05,2025-12-31,2.4199018450737384,0.19393545820008784
2026,2021-01-05,2026-06-24,2.648070938010551,0.19506714141913606
