年份,收益%,年化波动%,最大回撤%,有效成分均值,有效成分最少
2016,18.17037873235343,18.73817179941627,-9.521833390558577,51.8109756097561,48
2017,45.854468590633424,15.225193198178477,-9.04225178732987,55.32377049180328,53
2018,-15.31303692376975,26.214264513454626,-25.78336484269409,60.97119341563786,56
2019,59.747069569778446,21.49159368288382,-12.96325490789233,67.8360655737705,62
2020,67.60967807805783,26.04250883980698,-15.364394796029423,71.76543209876543,70
2021,26.409641924726124,19.94325222265605,-13.760260538643376,72.95884773662551,72
