year,start_date,end_date,trading_days,annual_return,annualized_return,annualized_vol,max_drawdown,avg_constituents_with_return,min_constituents_with_return
2023,2023-01-09,2023-12-29,219,0.043101720218098105,0.04975563208122202,0.157351701838045,-0.14585557728039966,,
2024,2024-01-02,2024-12-31,220,0.2369530601580605,0.2758112132523336,0.28981084531064666,-0.14428822355270532,,
2025,2025-01-02,2025-12-31,222,0.3786643181381295,0.4398070097218987,0.18181039711093558,-0.1252356223976867,,
2026,2026-01-05,2026-06-24,93,0.06792395317561328,0.1949096858697048,0.20871642313139152,-0.10285610192148453,,
